Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Germany,DEU,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078
"Population, total",SP.POP.TOTL,Ghana,GHA,26858762,27525597,28196358,28870939,29554303,30222262,30870641,31522290,32180401,32833031
"Population, total",SP.POP.TOTL,Gibraltar,GIB,32160,32411,32452,32520,32565,32602,32648,32685,32709,32669
"Population, total",SP.POP.TOTL,Greece,GRC,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10698599,10641221
"Population, total",SP.POP.TOTL,Greenland,GRL,56810,56483,56295,56114,56186,56171,56023,56225,56367,56653
"Population, total",SP.POP.TOTL,Grenada,GRD,115912,116945,117972,118980,119966,120921,121838,122724,123663,124610
"Population, total",SP.POP.TOTL,Guam,GUM,166392,167054,167543,167978,168346,168606,168678,168624,169231,170534
"Population, total",SP.POP.TOTL,Guatemala,GTM,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333,17109746
"Population, total",SP.POP.TOTL,Guinea,GIN,10788692,11055430,11333365,11625998,11930985,12240789,12554864,12877539,13205153,13531906
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1652717,1697753,1743309,1788919,1834552,1879826,1924955,1970457,2015828,2060721
"Population, total",SP.POP.TOTL,Guyana,GUY,743966,747420,751115,755031,759087,763252,785514,798753,797202,804567
"Population, total",SP.POP.TOTL,Haiti,HTI,10108539,10261206,10412740,10563757,10713849,10863543,11012421,11160438,11306801,11447569
"Population, total",SP.POP.TOTL,Honduras,HND,8792367,8960657,9127846,9294505,9460798,9626842,9792850,9958829,10121763,10278345
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100
"Population, total",SP.POP.TOTL,Hungary,HUN,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709891
"Population, total",SP.POP.TOTL,Iceland,ISL,320716,323764,327386,330815,335439,343400,352721,360563,366463,372520
"Population, total",SP.POP.TOTL,India,IND,1274487215,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842
"Population, total",SP.POP.TOTL,Indonesia,IDN,250222695,253275918,256229761,259091970,261850182,264498852,267066843,269582878,271857970,273753191
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,77324451,78458928,79961672,81790841,83306231,84505076,85617562,86564202,87290193,87923432
"Population, total",SP.POP.TOTL,Iraq,IRQ,33864447,35481800,36746488,37757813,38697943,39621162,40590700,41563520,42556984,43533592
"Population, total",SP.POP.TOTL,Ireland,IRL,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985382,5033165
"Population, total",SP.POP.TOTL,Isle of Man,IMN,84338,84144,83896,83593,83450,83580,83775,83933,84046,84263
"Population, total",SP.POP.TOTL,Israel,ISR,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9364000
"Population, total",SP.POP.TOTL,Italy,ITA,59539717,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59438851,59109668
"Population, total",SP.POP.TOTL,Jamaica,JAM,2759817,2773129,2784543,2794445,2802695,2808376,2811835,2813773,2820436,2827695
"Population, total",SP.POP.TOTL,Japan,JPN,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000,125681593
"Population, total",SP.POP.TOTL,Jordan,JOR,7211863,7694814,8658026,9494246,9964656,10215381,10459865,10698683,10928721,11148278
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16792090,17035551,17288285,17542806,17794055,18037776,18276452,18513673,18755666,19000988
"Population, total",SP.POP.TOTL,Kenya,KEN,43725806,44792368,45831863,46851488,47894670,48948137,49953304,50951450,51985780,53005614
"Population, total",SP.POP.TOTL,Kiribati,KIR,111618,113311,114985,116707,118513,120362,122261,124241,126463,128874
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,24887770,25001819,25126131,25258015,25389611,25516321,25638149,25755441,25867467,25971909
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51744876
"Population, total",SP.POP.TOTL,Kosovo,XKX,1807106,1818117,1812771,1788196,1777557,1791003,1797085,1788878,1790133,1786038
"Population, total",SP.POP.TOTL,Kuwait,KWT,3394663,3646518,3761584,3908743,4048085,4124904,4317185,4441100,4360444,4250114
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,5607200,5719600,5835500,5956900,6079500,6198200,6322800,6456200,6579900,6691800
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6508803,6600742,6691454,6787419,6891363,6997917,7105006,7212053,7319399,7425057
"Population, total",SP.POP.TOTL,Latvia,LVA,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1884490
"Population, total",SP.POP.TOTL,Lebanon,LBN,5178337,5678851,6274342,6398940,6258619,6109252,5950839,5781907,5662923,5592631
"Population, total",SP.POP.TOTL,Lesotho,LSO,2054718,2073939,2095242,2118521,2143872,2170617,2198017,2225702,2254100,2281454
"Population, total",SP.POP.TOTL,Liberia,LBR,4331740,4427313,4519398,4612329,4706097,4796631,4889391,4985289,5087584,5193416
"Population, total",SP.POP.TOTL,Libya,LBY,5869870,5985221,6097764,6192235,6282196,6378261,6477793,6569088,6653942,6735277
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,36505,36806,37096,37355,37609,37889,38181,38482,38756,39039
"Population, total",SP.POP.TOTL,Lithuania,LTU,2987773,2957689,2932367,2904910,2868231,2828403,2801543,2794137,2794885,2800839
"Population, total",SP.POP.TOTL,Luxembourg,LUX,530946,543360,556319,569604,582014,596336,607950,620001,630419,640064
